,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
114,Delano Burgzorg,sr SUR,"MF,FW",Middlesbrough,26,1998,25,11,"1,083",12,2,2,4,2,0,0,1,0,0.17,0.17,0.33,0.17,0.33,Matches
115,Delano Burgzorg,sr SUR,"FW,MF",Bristol City,26,1998,15,4,547,6.1,1,1,2,1,0,0,4,0,0.16,0.16,0.33,0.16,0.33,Matches
116,Reece Burke,eng ENG,DF,Charlton Athletic,28,1996,17,12,942,10.5,1,0,1,1,0,0,1,0,0.1,0,0.1,0.1,0.1,Matches
117,Wes Burns,wls WAL,MF,Ipswich Town,30,1994,18,9,795,8.8,2,1,3,2,0,0,3,0,0.23,0.11,0.34,0.23,0.34,Matches
118,Rumarn Burrell,jm JAM,FW,QPR,24,2000,30,22,"2,000",22.2,10,3,13,10,0,0,4,0,0.45,0.14,0.59,0.45,0.59,Matches
119,Harrison Burrows,eng ENG,DF,Sheffield United,23,2002,44,30,"2,966",33,5,4,9,5,0,1,3,0,0.15,0.12,0.27,0.15,0.27,Matches
120,Josef Bursik,eng ENG,GK,Portsmouth,25,2000,10,10,813,9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
121,Gustavo Caballero,py PAR,MF,Portsmouth,23,2001,12,9,759,8.4,1,0,1,1,0,0,1,0,0.12,0,0.12,0.12,0.12,Matches
122,Ben Cabango,wls WAL,DF,Swansea City,25,2000,45,45,"4,034",44.8,1,0,1,1,0,0,8,0,0.02,0,0.02,0.02,0.02,Matches
123,Liberato Cacace,nz NZL,MF,Wrexham,24,2000,12,8,721,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
124,Bailey-Tye Cadamarteri,jm JAM,FW,Sheffield Weds,20,2005,29,23,"2,103",23.4,2,0,2,2,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches
125,Bailey-Tye Cadamarteri,jm JAM,FW,Wrexham,20,2005,3,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
126,Jens Cajuste,se SWE,MF,Ipswich Town,25,1999,30,13,"1,194",13.3,1,3,4,1,0,0,1,0,0.08,0.23,0.3,0.08,0.3,Matches
127,George Campbell,us USA,DF,West Brom,24,2001,39,33,"3,081",34.2,4,2,6,4,0,0,7,0,0.12,0.06,0.18,0.12,0.18,Matches
128,Tyreece Campbell,jm JAM,"FW,MF",Charlton Athletic,21,2003,45,31,"2,921",32.5,3,3,6,3,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches
129,Tyrese Campbell,eng ENG,FW,Sheffield United,25,1999,34,21,"1,883",20.9,6,2,8,6,0,0,3,0,0.29,0.1,0.38,0.29,0.38,Matches
130,Tom Cannon,ie IRL,"FW,MF",Sheffield United,22,2002,36,19,"1,726",19.2,6,2,8,6,0,0,2,0,0.31,0.1,0.42,0.31,0.42,Matches
131,Todd Cantwell,eng ENG,MF,Blackburn,27,1998,28,22,"2,068",23,5,3,8,4,1,1,10,0,0.22,0.13,0.35,0.17,0.3,Matches
132,Sonny Carey,eng ENG,"MF,FW",Charlton Athletic,24,2001,46,40,"3,385",37.6,8,2,10,8,0,0,4,0,0.21,0.05,0.27,0.21,0.27,Matches
133,Julián Carranza,ar ARG,FW,Leicester City,25,2000,9,3,318,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
134,Hayden Carter,eng ENG,DF,Blackburn,25,1999,10,10,787,8.7,2,0,2,2,0,0,4,0,0.23,0,0.23,0.23,0.23,Matches
135,Kaelan Casey,eng ENG,DF,Swansea City,20,2004,8,3,292,3.2,0,1,1,0,0,0,0,0,0,0.31,0.31,0,0.31,Matches
136,Eiran Cashin,ie IRL,DF,Birmingham City,23,2001,11,3,420,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
137,Eiran Cashin,ie IRL,DF,Blackburn,23,2001,18,17,"1,543",17.1,1,1,2,1,0,0,7,0,0.06,0.06,0.12,0.06,0.12,Matches
138,Leo Castledine,eng ENG,FW,Middlesbrough,19,2005,9,1,279,3.1,1,0,1,1,0,0,0,0,0.32,0,0.32,0.32,0.32,Matches
139,Žan Celar,si SVN,FW,QPR,26,1999,2,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
140,Ilias Chair,ma MAR,MF,QPR,27,1997,15,10,945,10.5,1,2,3,1,0,0,1,0,0.1,0.19,0.29,0.1,0.29,Matches
141,Giorgi Chakvetadze,ge GEO,"MF,FW",Watford,25,1999,29,22,"1,791",19.9,0,3,3,0,0,0,6,0,0,0.15,0.15,0,0.15,Matches
142,Nathaniel Chalobah,eng ENG,MF,Sheffield Weds,30,1994,13,7,582,6.5,2,1,3,2,0,0,2,0,0.31,0.15,0.46,0.31,0.46,Matches
143,Luke Chambers,eng ENG,MF,Charlton Athletic,21,2004,18,16,"1,229",13.7,0,1,1,0,0,0,4,0,0,0.07,0.07,0,0.07,Matches
144,Archie Chaplin,eng ENG,DF,Middlesbrough,19,2005,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
145,Conor Chaplin,eng ENG,MF,Portsmouth,28,1997,36,26,"2,229",24.8,2,3,5,2,0,0,2,0,0.08,0.12,0.2,0.08,0.2,Matches
146,Conor Chaplin,eng ENG,MF,Ipswich Town,28,1997,4,1,135,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
147,Pierce Charles,nir NIR,GK,Sheffield Weds,20,2005,19,19,"1,710",19,0,1,1,0,0,0,1,0,0,0.05,0.05,0,0.05,Matches
148,Shea Charles,nir NIR,MF,Southampton,21,2003,31,21,"2,071",23,3,2,5,3,0,0,6,0,0.13,0.09,0.22,0.13,0.22,Matches
149,Tahith Chong,cw CUW,MF,Sheffield United,25,1999,21,7,678,7.5,0,1,1,0,0,0,2,0,0,0.13,0.13,0,0.13,Matches
150,Hamza Choudhury,bd BAN,"DF,MF",Leicester City,27,1997,30,17,"1,494",16.6,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
151,Benjamin Chrisene,eng ENG,DF,Norwich City,21,2004,21,15,"1,293",14.4,1,1,2,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,Matches
152,Lamine Cissé,fr FRA,"FW,MF",Stoke City,22,2003,34,19,"1,687",18.7,3,3,6,3,0,0,4,0,0.16,0.16,0.32,0.16,0.32,Matches
153,Bobby Clark,eng ENG,MF,Derby County,20,2005,42,33,"2,932",32.6,3,3,6,3,0,0,8,0,0.09,0.09,0.18,0.09,0.18,Matches
154,Harry Clarke,eng ENG,MF,Charlton Athletic,24,2001,19,17,"1,519",16.9,0,2,2,0,0,0,8,0,0,0.12,0.12,0,0.12,Matches
155,Jack Clarke,eng ENG,MF,Ipswich Town,24,2000,46,23,"2,387",26.5,16,1,17,10,6,6,4,0,0.6,0.04,0.64,0.38,0.41,Matches
156,Matthew Clarke,eng ENG,DF,Derby County,28,1996,45,45,"4,044",44.9,3,4,7,3,0,0,10,1,0.07,0.09,0.16,0.07,0.16,Matches
157,Jake Clarke-Salter,eng ENG,DF,QPR,27,1997,14,10,749,8.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
158,Max Cleworth,wls WAL,DF,Wrexham,22,2002,41,40,"3,594",39.9,3,4,7,3,0,0,6,0,0.08,0.1,0.18,0.08,0.18,Matches
159,Conor Coady,eng ENG,DF,Wrexham,32,1993,5,5,441,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
160,Conor Coady,eng ENG,MF,Charlton Athletic,32,1993,12,11,847,9.4,1,1,2,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,Matches
161,Josh Coburn,eng ENG,FW,Millwall,22,2002,26,22,"1,766",19.6,9,0,9,9,0,0,2,0,0.46,0,0.46,0.46,0.46,Matches
162,Alex Cochrane,eng ENG,DF,Birmingham City,25,2000,21,18,"1,534",17,1,4,5,1,0,0,3,0,0.06,0.23,0.29,0.06,0.29,Matches
163,Toby Collyer,eng ENG,MF,Hull City,21,2004,5,1,106,1.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
164,Toby Collyer,eng ENG,MF,West Brom,21,2004,12,3,258,2.9,0,1,1,0,0,0,0,0,0,0.35,0.35,0,0.35,Matches
165,Tommy Conway,sct SCO,"FW,MF",Middlesbrough,22,2002,46,43,"3,573",39.7,13,5,18,9,4,4,6,0,0.33,0.13,0.45,0.23,0.35,Matches
166,Steve Cook,eng ENG,DF,QPR,34,1991,30,23,"2,151",23.9,1,0,1,1,0,0,2,0,0.04,0,0.04,0.04,0.04,Matches
